0.5pi,1pi,1.5pi,2pi
2.931846079,3.701895652,5.177740183,4.740525233
0.073848981,0.090823249,0.123865424333333,0.116432743
0.646251257,0.671148098,0.722082174,0.603240915
0.684729535,0.926929362,1.967042282,1.573180619
0.019239139,0.138080398666667,0.380280226333333,0.220694656
0.826201604,0.822809933,0.9586243,0.853364477
0.39159563,0.630403788,0.859022179,0.746979016
0.600974883,0.603240915,0.735663611,0.696044939
0.124498962,0.217302986333333,0.325954479666667,0.331612182
0.333878214333333,0.725473845,0.896374819,0.75829442
0.665490396,0.614556319,0.624746086,0.502513156333333
1.233644703,1.393230272,1.858390789,1.681832112
5.26845702566667,4.735389326,9.55792497533333,7.650866142
9.142558141,13.43202609,18.0395247843333,16.665533651
1.00276028,1.891211365,2.472947108,2.66535325333333
